Width,Height,Eccentricity,Moore Length,Slopes,DirectionSum,Y
17,29,0.586207,74,5,51,4
6,29,0.206897,65,0,12,1
16,29,0.551724,102,4,36,2
6,29,0.206897,65,0,12,1
16,29,0.551724,102,4,36,2
18,29,0.620690,119,4,44,5
18,29,0.620690,100,0,12,9
5,29,0.172414,62,1,19,1
16,29,0.551724,107,4,40,2
16,29,0.551724,116,5,47,5
18,29,0.620690,99,1,17,9
5,29,0.172414,63,1,19,1
18,29,0.620690,112,4,40,2
16,29,0.551724,113,6,52,5
5,29,0.172414,64,0,12,1
18,29,0.620690,110,4,36,2
16,29,0.551724,114,6,50,5
18,29,0.620690,104,0,12,9
6,29,0.206897,65,0,12,1
17,29,0.586207,109,4,44,2
17,29,0.586207,117,5,47,5
16,29,0.551724,92,2,18,9
6,29,0.206897,65,0,12,1
18,29,0.620690,109,4,40,2
17,29,0.586207,118,6,48,5
17,29,0.586207,98,0,12,9
5,29,0.172414,64,0,12,1
16,29,0.551724,104,4,36,2
17,29,0.586207,118,5,45,5
18,29,0.620690,99,0,12,9
6,29,0.206897,65,0,12,1
15,29,0.517241,105,5,39,2
15,29,0.517241,112,6,52,5
17,29,0.586207,96,2,18,9
6,29,0.206897,63,0,12,1
17,29,0.586207,110,4,40,2
16,29,0.551724,111,5,49,5
18,29,0.620690,99,3,19,9
5,29,0.172414,64,0,12,1
18,29,0.620690,113,4,44,2
16,29,0.551724,113,6,52,5
17,29,0.586207,99,1,17,9
19,29,0.655172,112,2,24,3
6,29,0.206897,63,0,12,1
18,29,0.620690,111,3,27,3
18,29,0.620690,107,2,20,3
5,29,0.172414,63,1,19,1
17,29,0.586207,106,5,27,3
17,29,0.586207,104,2,20,3
5,29,0.172414,63,1,25,1
18,29,0.620690,112,2,24,3
18,29,0.620690,107,2,24,3
6,29,0.206897,64,0,12,1
18,29,0.620690,111,2,24,3
19,29,0.655172,116,2,24,3
6,29,0.206897,65,0,12,1
16,29,0.551724,98,6,34,3
18,29,0.620690,107,2,20,3
5,29,0.172414,61,0,12,1
18,29,0.620690,111,3,23,3
19,29,0.655172,114,3,25,3
5,29,0.172414,63,0,12,1
15,29,0.517241,99,5,27,3
6,29,0.206897,63,0,12,1
17,29,0.586207,105,2,24,3
5,29,0.172414,62,1,25,1
18,29,0.620690,111,3,23,3
16,29,0.551724,99,4,26,3
6,29,0.206897,63,0,12,1
18,29,0.620690,108,3,23,3
17,29,0.586207,104,2,24,3
6,29,0.206897,65,0,12,1
16,29,0.551724,101,5,33,3
18,29,0.620690,124,4,44,5
19,29,0.655172,126,4,32,3
18,29,0.620690,114,3,25,3
6,27,0.222222,63,3,33,1
16,29,0.551724,126,6,44,5
18,29,0.620690,116,3,25,3
16,29,0.551724,105,6,38,3
16,29,0.551724,127,6,46,5
18,29,0.620690,118,3,25,3
16,29,0.551724,107,7,37,3
19,29,0.655172,137,5,45,5
18,29,0.620690,118,4,32,3
17,29,0.586207,110,5,35,3
5,29,0.172414,63,1,13,1
17,29,0.586207,132,4,44,5
18,28,0.642857,118,3,25,3
16,29,0.551724,109,6,38,3
6,29,0.206897,63,1,13,1
18,29,0.620690,128,5,45,5
18,29,0.620690,115,2,24,3
17,29,0.586207,114,4,28,3
5,29,0.172414,63,1,13,1
18,29,0.620690,124,3,25,3
18,29,0.620690,115,5,35,3
5,29,0.172414,61,2,32,1
16,29,0.551724,125,6,42,5
18,29,0.620690,124,3,25,3
18,29,0.620690,116,2,24,3
5,29,0.172414,63,1,25,1
18,29,0.620690,115,3,25,3
16,29,0.551724,107,4,28,3
5,29,0.172414,62,0,12,1
18,29,0.620690,129,4,44,5
17,29,0.586207,112,3,23,3
17,29,0.586207,111,4,40,2
18,29,0.620690,79,1,15,8
17,29,0.586207,75,5,45,4
18,29,0.620690,112,4,40,2
17,29,0.586207,111,4,40,2
18,29,0.620690,79,1,15,8
17,29,0.586207,75,5,45,4
18,29,0.620690,112,4,40,2
16,29,0.551724,105,4,40,2
16,29,0.551724,81,0,12,8
16,29,0.551724,74,5,43,4
18,29,0.620690,113,4,40,2
18,29,0.620690,82,0,12,8
15,29,0.517241,72,5,51,4
17,29,0.586207,111,4,40,2
18,29,0.620690,79,1,15,8
17,29,0.586207,75,5,45,4
18,29,0.620690,112,4,40,2
16,29,0.551724,105,4,40,2
16,29,0.551724,81,0,12,8
16,29,0.551724,74,5,43,4
18,29,0.620690,113,4,40,2
18,29,0.620690,82,0,12,8
15,29,0.517241,72,5,51,4
17,28,0.607143,108,4,40,2
16,29,0.551724,78,0,12,8
16,29,0.551724,75,5,43,4
16,29,0.551724,105,4,40,2
16,29,0.551724,77,1,15,8
16,29,0.551724,72,5,51,4
18,29,0.620690,111,4,40,2
17,29,0.586207,81,0,12,8
16,29,0.551724,75,5,47,4
17,29,0.586207,108,5,47,2
18,29,0.620690,112,4,40,2
16,29,0.551724,78,1,19,8
17,29,0.586207,75,4,38,4
18,29,0.620690,109,4,46,2
18,29,0.620690,109,4,40,2
18,29,0.620690,82,0,12,8
17,29,0.586207,73,4,40,4
17,29,0.586207,109,4,36,2
17,29,0.586207,108,4,40,2
18,29,0.620690,81,0,12,8
18,29,0.620690,75,4,42,4
20,29,0.689655,116,4,40,2
18,29,0.620690,113,4,46,2
18,29,0.620690,80,0,12,8
16,29,0.551724,76,5,51,4
16,29,0.551724,103,4,40,2
18,29,0.620690,99,0,12,9
16,29,0.551724,73,5,51,4
18,29,0.620690,77,0,12,0
6,29,0.206897,63,0,12,1
18,29,0.620690,98,0,12,9
18,29,0.620690,75,4,48,4
18,29,0.620690,77,0,12,0
6,29,0.206897,64,0,12,1
18,29,0.620690,101,3,19,9
16,29,0.551724,76,5,49,4
18,29,0.620690,77,1,15,0
6,29,0.206897,63,0,12,1
18,29,0.620690,103,0,12,9
18,29,0.620690,78,5,49,4
18,29,0.620690,78,0,12,0
6,29,0.206897,62,0,12,1
18,29,0.620690,100,0,12,9
18,29,0.620690,76,4,48,4
18,29,0.620690,77,0,12,0
5,29,0.172414,62,0,12,1
18,29,0.620690,100,0,12,9
18,29,0.620690,77,6,62,4
